RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
1;minsk;minsk;bus;5 АП;17152,;0;;A>B;A;ДС Веснянка - Вокзал;1234567;193345;;15846,54756,54757,15850,15852,15854,15856,15084,15112,15113,15890,15114,15115,16239,15866,230003,243538;;d1-d5 - 05.06.2017<br>d6-d7 - 17.12.2016
;;;;;;;;B>A;A;Вокзал - ДС Веснянка;1234567;193348;;243538,15870,15868,16238,15009,15010,15011,15526,15039,15040,15041,15855,15853,15851,15849,54761,15847,68808,15846;;
2с;;;;6 АП;17286,;;;A>B;A;ДС Лошица - ст.м. Тракторный завод;1234567;198526;;68811,15463,15464,15490,15491,15492,15493,15547,15549,14727,14729,14730,14731,14732,14733,15812,15813;;d1-d5 - 15.05.2017<br>d6-d7 - 30.04.2017
;;;;;;;;B>A;A;ст.м. Тракторный завод - ДС Лошица;1234567;198527;;15813,15814,15811,14781,14782,14795,14796,14802,14804,15447,15450,15454,15455,15456,15465,15466,15467,68810,68811;;
3с;;;;2 АП;17318,;;;A>B;A;ДС Чижовка - Вокзал;12345;199960;;15534,15539,15540,15547,15549,15552,243538;;d1-d5 - 01.06.2017
;;;;;;;;B>A;A;Вокзал - ДС Чижовка;12345;199958;;243538,15443,15444,15447,15450,15501,15538,14616,15710,15533,193269,15534;;
;;;;;;;0.56;A1>D;A;ДС Чижовка - АП 2;12345;199956;;15534,15539,15540,15547;;
;;;;;;;0.61;D>A1;A;АП 2 - ДС Чижовка;12345;199957;;15450,15501,15538,14616,15710,15533,193269,15534;;
4;;;;;;;;A>B;A;ДС Дружная - Ж/д ст. Минск-Южный;1234567;197376;;15914,15665,15838,15840,14721,14722,14723,16184,16183;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Ж/д ст. Минск-Южный  - ДС Дружная;1234567;197377;;16183,16185,14806,14808,14809,15842,15841,15839,15844,15914;;
